historial_crediticio,nivel_endeudamiento,ingresos_mensuales,edad,tipo_empleo,aprobacion
Malo,0.75,2474172,67,Dependiente,Sí
Bueno,0.35,2435928,22,Dependiente,No
Malo,0.35,2366751,49,Temporal,Sí
Bueno,0.35,2176081,45,Dependiente,Sí
Regular,0.55,1402824,53,Dependiente,No
Bueno,0.35,1733991,35,Temporal,Sí
Bueno,0.55,3104550,53,Dependiente,Sí
Bueno,0.35,2326028,35,Dependiente,Sí
Bueno,0.35,5503066,61,Temporal,Sí
Malo,0.75,1908444,28,Dependiente,No
Bueno,0.55,1165421,25,Dependiente,No
Bueno,0.55,2337838,24,Dependiente,No
Bueno,0.2,2282175,22,Dependiente,Sí
Malo,0.75,1771249,60,Temporal,No
Bueno,0.35,1436372,28,Dependiente,Sí
Bueno,0.75,2056766,32,Temporal,No
Malo,0.75,2347636,53,Dependiente,Sí
Excelente,0.35,2172777,25,Dependiente,Sí
Bueno,0.75,2113834,44,Dependiente,No
Bueno,0.55,3524212,31,Dependiente,Sí
Malo,0.75,1995408,48,Dependiente,Sí
Bueno,0.35,2709240,44,Dependiente,Sí
Malo,0.2,1500798,48,Temporal,Sí
Malo,0.55,2197261,44,Dependiente,Sí
Malo,0.35,2184104,26,Dependiente,Sí
Bueno,0.2,2220728,36,Temporal,Sí
Excelente,0.75,1751491,39,Temporal,Sí
Excelente,0.55,4785586,42,Dependiente,Sí
Bueno,0.55,1970138,34,Dependiente,Sí
Regular,0.55,1512462,63,Dependiente,No
Bueno,0.55,4767919,36,Dependiente,Sí
Bueno,0.35,1421681,27,Dependiente,Sí
Bueno,0.35,1891072,30,Dependiente,Sí
Malo,0.75,3507993,57,Temporal,Sí
Bueno,0.75,2332555,33,Dependiente,Sí
Malo,0.75,2138370,25,Temporal,No
Malo,0.2,1595997,31,Dependiente,Sí
Bueno,0.75,1326973,37,Dependiente,No
Bueno,0.35,2089502,37,Dependiente,Sí
Bueno,0.75,1772198,24,Dependiente,Sí
Bueno,0.75,3219668,30,Dependiente,Sí
Bueno,0.55,3242765,26,Dependiente,Sí
Regular,0.35,1244705,44,Temporal,Sí
Malo,0.2,3380353,24,Dependiente,Sí
